date,exchange,project,price_usd,price_orig,price_orig_symb,token_id,seller,buyer,tx_hash,used
2021-01-17 00:00:00+00:00,DCL MarketPlace,Decentraland,929.355816,8888.0,MANA,115792089237316195423570985008687907851908855197956810185604085578186056794050,0x25238f6f0b899dcad634047e048f3d200be4efb,0x9293c35d6e1524609b7221a1c9a8d52dc81ba62,0x19779d3493c08a9772f2d4de06c60290250371a408e30fa682fc3d28d62dcee,True
2021-01-17 00:00:00+00:00,DCL MarketPlace,Decentraland,1161.84,9999.0,MANA,115792089237316195423570985008687907852249137564877748649067460185617825005508,0x25238f6f0b899dcad634047e048f3d200be4efb,0x378ff65cb9e9b83b86aa2534c9991e5b28f1ec9,0x9a19735b4f8215dc004099e5008bfc17103701d54a4ddad894d227e84fda5be,True
2021-01-17 00:00:00+00:00,DCL MarketPlace,Decentraland,1032.643392,7999.0,MANA,6125082604576892342340742933771827806350,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0xf39bf6c8b3f92f3acead822cb76b9fabc33b476,0x3ca6820cf8571d4eef48183df20a0f0133b6d4406070303fa768ffb6b0508ab,True
2021-01-17 00:00:00+00:00,DCL MarketPlace,Decentraland,1161.84,14949.0,MANA,115792089237316195423570985008687907852249137564877748649067460185617825005509,0x25238f6f0b899dcad634047e048f3d200be4efb,0x378ff65cb9e9b83b86aa2534c9991e5b28f1ec9,0x485001c0ae8e67ae5f0e3120dbe53511401420631b7ed0fba4dcb8f643169e0,True
2021-01-17 00:00:00+00:00,DCL MarketPlace,Decentraland,929.355816,10000.0,MANA,115792089237316195423570985008687907851908855197956810185604085578186056794051,0x25238f6f0b899dcad634047e048f3d200be4efb,0xc9a6db6a724de85ef5be79ba04b7d144dc38780,0x7b89584e29aafed7f6d20cec08a7d89ad4d62c26abcd89c24ff9f1a95dc051b,True
2021-01-17 00:00:00+00:00,DCL MarketPlace,Decentraland,1161.84,16000.0,MANA,115792089237316195423570985008687907852249137564877748649067460185617825005510,0x25238f6f0b899dcad634047e048f3d200be4efb,0x378ff65cb9e9b83b86aa2534c9991e5b28f1ec9,0x613a59db0747b61987e6034aef3e11d3ff19b487c06bc35c0c6ec8a26a3dce1,True
2021-01-17 00:00:00+00:00,DCL MarketPlace,Decentraland,2009.9832,7999.0,MANA,115792089237316195423570985008687907851568572831035871722140710970754288582687,0xb3a422a68cec22435ed002caab4d0d2eb6cce28,0x6a45de91b516c17cacec184506d719947613465,0x700cb1183aa4dd141888e966a310d5687dab48aaae4217a12a7704b415161af,True
2021-01-18 00:00:00+00:00,DCL MarketPlace,Decentraland,1403.4840000000002,10000.0,MANA,115792089237316195423570985008687907833193325017305194695118482169438805163984,0x442baed6405a8755497dfdd6dd6974d6291a7d1,0x267532592d16a9c48c013025af4afdfa40a8b08,0x61f24c37b11d32c7d5b434348b583b4618cd519d49833490a1e2c05bf069b04,True
2021-01-18 00:00:00+00:00,DCL MarketPlace,Decentraland,1169.453043,10000.0,MANA,115792089237316195423570985008687907845783772593379917843263342644414228988048,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0x36ca37b7d5c3b10968bc30d27c027288e8491cd,0x5d83051422fd7097b8a17a1bc7551423767b9436001da8685c9225c9348c4f0,True
2021-01-18 00:00:00+00:00,DCL MarketPlace,Decentraland,935.656,10000.0,MANA,115792089237316195423570985008687907851908855197956810185604085578186056794052,0x25238f6f0b899dcad634047e048f3d200be4efb,0xe113e7b1e8ecd07973ea40978aed520241d17f2,0x0311558bcb627734dee0cbe0c6c9e294a24044300fbf19bf84fb344e8ce5f91,True
